
when no diving by 10 or 1000
	mode	median	mean	highestValue	lowestValue	StandId
0	366	374	372	383	359	2020202
1	366	366	367	383	361	3030303
2	364	364	361	368	348	4040404
3	376	379	377	403	348	5050505
4	538	526	499	617	322	6060606
5	380	402	422	588	327	7070707
6	359	375	392	615	317	8080808



by dividing by 10 or 100
	mode	median	mean	highestValue	lowestValue	StandId
0	366	374	372	383	359	2020202
1	366	366	367	383	361	3030303
2	364	364	361	368	348	4040404
3	376	379	377	403	348	5050505
4	538	526	497	617	308	6060606
5	380	401	421	588	314	7070707
6	359	375	390	615	304	8080808



before replacing with jp's mojo and adding shade and drought tolerance
	mode	median	mean	highestValue	lowestValue	StandId
0	366	374	372	383	359	2020202
1	366	366	367	383	361	3030303
2	364	364	361	368	348	4040404
3	376	379	377	403	348	5050505
4	538	526	497	617	308	6060606
5	380	401	421	588	314	7070707
6	359	375	390	615	304	8080808



when we use shade and drought tolerance
	mode	median	mean	highestValue	lowestValue	StandId
0	378	382	383	389	378	2020202
1	378	378	380	392	378	3030303
2	389	389	387	394	379	4040404
3	403	392	391	410	378	5050505
4	519	500	474	565	327	6060606
5	498	400	415	526	335	7070707
6	348	380	393	557	326	8080808


when we remove the shade and drought tolerance
	mode	median	mean	highestValue	lowestValue	StandId
0	410	414	414	421	410	2020202
1	410	410	411	424	410	3030303
2	421	421	419	425	410	4040404
3	435	424	423	438	410	5050505
4	546	528	504	605	366	6060606
5	408	429	444	554	374	7070707
6	387	415	427	605	365	8080808







with using shade and drought tolerance

mode	median	mean	highestValue	lowestValue	StandId
0	379	379	391	496	358	10000
1	336	336	336	344	333	11
2	336	336	338	345	336	12
3	378	388	387	429	378	1254
4	333	333	337	345	333	13
5	336	336	337	345	333	14
6	336	336	337	350	333	15
7	357	374	380	511	346	1585
8	339	339	345	382	333	16
9	335	335	334	337	332	1978
10	386	386	390	397	386	1993
11	340	340	339	353	328	1995
12	400	400	401	408	397	2000
13	316	316	323	362	309	2012
14	420	420	416	428	390	2016
15	378	382	383	389	378	2020202
16	378	378	380	392	378	3030303
17	389	389	387	394	379	4040404
18	403	392	391	410	378	5050505
19	378	378	379	407	378	5555
20	519	500	474	565	327	6060606
21	498	400	415	526	335	7070707
22	348	380	393	557	326	8080808
23	378	389	387	409	378	855885




without using drought and shade tolerance

mode	median	mean	highestValue	lowestValue	StandId
0	410	410	419	524	390	10000
1	374	374	373	376	370	11
2	374	374	376	382	374	12
3	410	419	419	454	410	1254
4	370	370	375	382	370	13
5	374	374	374	382	370	14
6	374	374	374	384	370	15
7	388	399	407	538	377	1585
8	382	382	383	404	370	16
9	374	374	373	376	370	1978
10	370	370	375	382	370	1993
11	382	382	381	396	370	1995
12	374	374	374	382	370	2000
13	382	382	383	404	370	2012
14	397	397	394	406	375	2016
15	410	414	414	421	410	2020202
16	410	410	411	424	410	3030303
17	421	421	419	425	410	4040404
18	435	424	423	438	410	5050505
19	410	410	410	432	410	5555
20	546	528	504	605	366	6060606
21	408	429	444	554	374	7070707
22	387	415	427	605	365	8080808
23	410	421	418	435	410	855885
