CMI_wt,dem30_usa,Subz_Name,M_PPT01,PRATIO,B_SHM,USA_Slope,M_Tmin03,TOTAL_LITH,IFC_Solar,QMD,PM_PROP,TO_PROP,DF_PROP,SP_PROP,OH_PROP,OC_PROP,WH_PROP,GF_PROP,WF_PROP,W_ShadeTol,W_DroughtTol
39.0,806.0,aw,135.0,1818.0,198.0,40.0,11.0,ay,600799.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,828.0,aq,135.0,1818.0,198.0,38.0,11.0,ay,699913.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,827.0,av,135.0,1818.0,198.0,39.0,11.0,ay,608937.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,846.0,av,135.0,1818.0,198.0,38.0,11.0,ay,656811.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,868.0,ao,135.0,1818.0,198.0,33.0,11.0,l,768701.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,853.0,aq,135.0,1818.0,198.0,35.0,11.0,ay,690496.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,872.0,aq,135.0,1818.0,198.0,37.0,11.0,ay,673857.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,890.0,ao,135.0,1818.0,198.0,35.0,11.0,l,703292.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,901.0,ao,135.0,1818.0,198.0,19.0,11.0,l,970238.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,886.0,ap,135.0,1818.0,198.0,19.0,11.0,l,1210245.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
39.0,871.0,ao,135.0,1818.0,198.0,31.0,11.0,ay,833005.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,2.62
